År;Kbn stad;Kbn amt;Frederiksborg;Holbæk;Sorø;Præstø;Bornholms;Maribo;Odense;Svendborg;Øerne i alt;Øerne i alt (kontrol);Hjørring;Thisted;Aalborg;Viborg;Skanderborg;Randers;Aarhus;Vejle;Ringkøbing;Ribe;Jylland;Jylland (kontrol);Hele kongeriget
1837;124,4;792,0909091;867,0731707;654,047619;729,0262172;750,4620462;637,1698113;709,269103;572,75;542,0538721;NA;NA;133,4325397;133,6601307;124,1275797;111,9454545;178,6601307;172,9864253;396,4583333;235,202864;121,3080685;144,1481481;NA;NA;340,1141949
1838;147,8;644,5454545;584,7154472;501,8367347;595,2434457;611,0891089;388,0188679;554,8504983;296,8125;307,1717172;NA;NA;64,20634921;82,90849673;51,61350844;61,10909091;113,0392157;101,1085973;210,7638889;115,6801909;86,63814181;71,18518519;NA;NA;227,8100607
1861;174,2;843,8636364;915,9756098;903,0952381;774,4569288;946,0066007;612,9245283;751,8604651;715,09375;636,5319865;NA;NA;227,6587302;155,4901961;210,7317073;220,3818182;296,8627451;322,1945701;506,25;345,9665871;182,8973105;231,3518519;NA;NA;434,9927725
1866;287,2;1013,5;1053,130081;1237,891156;1030,224719;1103,036304;562,0754717;766,5780731;796,8125;809,8316498;NA;NA;321,6468254;192,5163399;278,9118199;311,2545455;NA;402,8506787;547,5333333;553,9140811;252,0660147;289,0185185;NA;NA;551,4773056
1871;309,8;1123,954545;1194,634146;1375,306122;1131,835206;1191,518152;708,1132075;835,7807309;943,03125;940,1010101;NA;NA;453,234127;230,9150327;352,8517824;374,7454545;NA;465,7918552;638,9777778;644,0811456;295,6845966;359,1851852;NA;NA;639,521538
1876;174,4;1091,409091;1133,699187;1472,619048;1306,292135;1221,815182;549,0566038;773,4883721;1011,03125;940,8417508;NA;NA;613,8492063;317,7777778;541,5947467;515,8181818;NA;535,0452489;760,0888889;849,5704057;374,5232274;450,3333333;NA;NA;728,0529055
1881;192,2;1299,363636;1239,715447;1651,122449;1515,018727;1395,775578;669,4339623;895,3820598;986,6875;955,0841751;NA;NA;686,6071429;358,8888889;517,879925;499,9636364;NA;520,2941176;745,2222222;758,1622912;381,5525672;405,5925926;NA;NA;762,3836369
1888;58,8;1516,090909;1758,495935;2229,217687;2046,329588;1901,419142;1197,358491;1302,192691;1549,90625;1425,488215;NA;NA;1090,198413;767,5163399;757,1669794;682,2727273;NA;815,1809955;1159,288889;1099,546539;583,4107579;628,8888889;NA;NA;1114,173171
1893;177,4;1928,454545;1927,439024;2731,122449;2490,599251;2291,485149;1438,490566;1377,209302;1551;1448,855219;NA;NA;1094,047619;659,6078431;857,2420263;729,2909091;NA;846,6515837;1170,333333;1048,138425;577,1393643;564,2962963;NA;NA;1198,512576
1898;55;2687,363636;2632,154472;3743,095238;3521,198502;3254,620462;2318,584906;2094,285714;2137,71875;1861,818182;NA;NA;1491,72619;867,254902;1226,491557;1055,690909;NA;1195,746606;1735,244444;1524,486874;801,5770171;829,8148148;NA;NA;1689,061868
1903;826,6;2829,454545;2810,121951;4409,183673;4065,131086;3840,990099;2870,09434;2526,843854;2640,0625;2495,420875;NA;NA;1950,892857;1258,300654;1659,737336;1400,927273;NA;1528,574661;2116,022222;2064,105012;1067,762836;1159,333333;NA;NA;2105,664932
1909;781,2;2629,636364;2811,747967;4274,081633;3680,561798;3733,135314;3074,150943;2586,345515;2613,15625;2623,097643;NA;NA;1835,515873;1410,718954;1729,493433;1482,745455;NA;1478,959276;2131,244444;2095,393795;1212,371638;1300,62963;NA;NA;2121,743278
1914;1513;4541,409091;4022,926829;6722,244898;5650,411985;5678,679868;4885,660377;4388,139535;4197,59375;4763,838384;NA;NA;3187,97619;2622,189542;2984,559099;2746,872727;NA;2984,208145;4716,777778;3389,570406;1929,242054;2128,925926;NA;NA;3608,999711